ID,Devo_Day,Treatment,Treatment_Binary,Day in,Chamber_Humidty,Avg_Temp,before_mass,before_mass_mg,SA,after_mass,frass_mass,delta_mass,percent_mass_change,before_osmo,after_osmo,delta_osmo
D002,19,C,0,8/15/22,7-10%,37,4.53,4530,273.7781606,4.09,0.04,0.48,0.105960265,,,
D006,19,C,0,8/15/22,7-10%,37,4.62,4620,277.3924589,4.02,0.05,0.65,0.140692641,,,
D009,19,C,0,8/15/22,7-10%,37,5.15,5150,298.2209523,4.7,0.05,0.5,0.097087379,,,
D013,18,C,0,8/16/22,7-10%,37,3.17,3170,215.794071,2.45,0,0.72,0.227129338,340,350,10
D014,18,C,0,8/16/22,7-10%,37,3.57,3570,233.5852834,2.69,0.03,0.91,0.254901961,361,385,24
D015,19,C,0,8/16/22,7-10%,37,2.82,2820,199.602544,2.12,0.01,0.71,0.25177305,,,
D016,19,C,0,8/16/22,7-10%,37,2.51,2510,184.6924522,2.07,0,0.44,0.175298805,369,412,43
D018,19,C,0,8/16/22,7-10%,37,4.17,4170,259.074123,3.43,0.04,0.78,0.18705036,351,350,-1
D030,19,C,0,8/24/22,7-10%,38.4,5.25,5250,302.0690309,4.84,0.043,0.453,0.086285714,,,
D031,19,C,0,8/24/22,7-10%,38.4,5.04,5040,293.959178,4.66,0.018,0.398,0.078968254,,,
D032,19,C,0,8/24/22,7-10%,38.4,2.35,2350,176.7577948,2.11,0.006,0.246,0.104680851,,,
D033,19,C,0,8/24/22,7-10%,38.4,6.19,6190,337.1271786,5.56,0.043,0.673,0.108723748,,,
D039,19,C,0,8/24/22,7-10%,38.4,3.51,3510,230.9606949,3.14,0.005,0.375,0.106837607,,,
D040,19,C,0,8/25/22,7-10%,38.4,5.01,5010,292.791513,4.62,0.009,0.399,0.079640719,,,
D042,18,C,0,8/25/22,7-10%,38.4,1.35,1350,122.1487927,1.25,0.006,0.106,0.078518519,,,
D043,19,C,0,8/25/22,7-10%,38.4,3.35,3350,223.8875126,3.07,0.008,0.288,0.085970149,,,
D046,18,C,0,8/25/22,7-10%,38.4,1.54,1540,133.3563849,1.42,0,0.12,0.077922078,,,
D047,19,C,0,8/25/22,7-10%,38.4,3.92,3920,248.6131205,3.37,0.041,0.591,0.150765306,,,
D048,19,C,0,8/25/22,7-10%,38.4,3.22,3220,218.0572753,2.91,0.02,0.33,0.102484472,,,
D049,19,C,0,8/25/22,7-10%,38.4,5.01,5010,292.791513,4.61,0.008,0.408,0.081437126,,,
D054,19,C,0,8/29/22,7-10%,38.4,2.48,2480,183.217852,2.28,0,0.2,0.080645161,,,
D056,19,C,0,8/29/22,7-10%,38.4,2.48,2480,183.217852,2.25,0.021,0.251,0.101209677,,,
D057,19,C,0,8/29/22,7-10%,38.4,3.88,3880,246.9189854,3.47,0.036,0.446,0.114948454,,,
D058,19,C,0,8/29/22,7-10%,38.4,1.89,1890,152.8649327,1.71,0.007,0.187,0.098941799,,,
D066,18,C,0,8/30/22,7-10%,38.4,4.65,4650,278.5919962,4.04,0.035,0.645,0.138709677,355,364,9
D067,17,C,0,8/30/22,7-10%,38.4,2.14,2140,166.0641355,1.83,0,0.31,0.144859813,319,329,10
D068,18,C,0,8/30/22,7-10%,38.4,4.49,4490,272.1641346,4,0.021,0.511,0.113808463,352,371,19
D069,18,C,0,8/30/22,7-10%,38.4,3.67,3670,237.9271721,2.9,0.019,0.789,0.214986376,360,408,48
D070,19,C,0,9/6/22,7-10%,38.35,3.75,3750,241.3723462,3.24,0.03,0.54,0.144,357,336,-21
D071,19,C,0,9/6/22,7-10%,38.35,3.29,3290,221.2061847,2.93,0.0049,0.3649,0.110911854,301,322,21
D072,19,C,0,9/6/22,7-10%,38.35,4.95,4950,290.4491652,4.31,0.05,0.69,0.139393939,373,337,-36
D073,19,C,0,9/6/22,7-10%,38.35,3.41,3410,226.5528793,3.1,0.013,0.323,0.094721408,319,326,7
D074,19,C,0,9/6/22,7-10%,38.35,2.19,2190,168.6408347,1.9,0.02,0.31,0.141552511,326,340,14
D089,17,C,0,10/5/22,7-12%,38.2,3.31,3310,222.1017579,2.98,0.0069,0.3369,0.101782477,,,
D090,18,C,0,10/5/22,7-12%,38.2,5.98,5980,329.458555,5.3,0.09,0.77,0.128762542,,,
D092,18,C,0,10/5/22,7-12%,,5.87,5870,325.4058834,5.27,0.017,0.617,0.105110733,,,
D094,18,C,0,10/5/22,7-12%,38.2,5.43,5430,308.9346014,4.7,0.055,0.785,0.144567219,,,
D095,18,C,0,10/5/22,7-12%,38.2,4.88,4880,287.7044293,4.425,0.06,0.515,0.105532787,,,
D097,18,C,0,10/10/22,7-11%,38.5,6.22,6220,338.2155646,5.6361,0.0589,0.6428,0.103344051,,,
D098,20,C,0,10/10/22,7-11%,38.5,8.14,8140,404.6531604,7.6939,0.0724,0.5185,0.063697789,,,
D099,18,C,0,10/10/22,7-11%,38.5,4.75,4750,282.5719659,4.1378,0.0061,0.6183,0.130168421,,,
D100,20,C,0,10/10/22,7-11%,38.5,7.55,7550,384.8557395,7.022,0.1034,0.6314,0.083629139,,,
D101,18,C,0,10/10/22,7-11%,38.5,4.43,4430,269.7340775,4.1284,0.013,0.3146,0.071015801,,,
D105,20,C,0,10/10/22,7-11%,38.5,7.99,7990,399.6665972,7.4409,0.1013,0.6504,0.081401752,,,
