larval_ID,treatment,treatment_binary,date,ambient_temp,ambient_humidity,mass,body_temp,reading_1,reading_2,reading_3,reading_4,reading_5,reading_6,reading_7,reading_8,avg_reading,readings_stdev,range,coef_var,gray_R,gray_G,gray_B,avg_gray,darkness_G,area_R,area_G,area_B,avg_area
C01,crowded,0,2/7/24,28,41.5,5.6246,30,14.2,13.2,14.7,14.2,12.6,13.6,,,13.75,0.768765244,2.1,5.591019955,12.915,13.288,12.21,12.80433333,15.712,72.593,72.59,76.114,73.76566667
C02,crowded,0,2/7/24,28,41.5,4.8326,30,6.4,5.9,6.9,7.3,7,4.9,,,6.4,0.885437745,2.4,13.83496476,14.712,15.126,14.072,14.63666667,13.874,75.963,75.046,79.306,76.77166667
C03,crowded,0,2/7/24,28,41.5,4.6642,29,5.3,6,7.9,5.5,5.1,4,5,,5.542857143,1.203961714,3.9,21.72095876,15.57,15.023,14.979,15.19066667,13.977,61.284,55.648,65.072,60.668
C04,crowded,0,2/8/24,29,39,3.8417,30,12.8,8.6,11.2,9.5,8.6,10,,,10.11666667,1.635135061,4.2,16.16278478,11.307,11.682,10.729,11.23933333,17.318,89.162,89.578,93.204,90.648
C05,crowded,0,2/8/24,29,39,4.012,30,3.8,7,5.2,7.8,8.2,7.2,,,6.533333333,1.690759198,4.4,25.87896732,14.127,14.243,12.941,13.77033333,14.757,78.443,78.545,82.679,79.889
C06,crowded,0,2/8/24,29,39,4.6144,30,7.7,7.7,7,5.4,7.3,7.6,6.5,,7.028571429,0.840068024,2.3,11.95218734,13.792,13.259,13.166,13.40566667,15.741,47.067,43.921,51.166,47.38466667
C07,crowded,0,2/8/24,29,39,5.3804,30,6.1,9,5.7,4.8,5,6.3,5.9,,6.114285714,1.387357886,4.2,22.69043272,15.48,15.38,14.476,15.112,13.62,40.555,36.423,40.229,39.069
C08,crowded,0,2/9/24,28,39,4.3829,29,5.9,3.6,3.7,7.3,7.2,7.7,8,,5.825,2.02396358,4.4,34.74615587,16.076,16.169,15.454,15.89966667,12.831,45.305,42.753,47.523,45.19366667
C09,crowded,0,2/9/24,28,39,4.5885,30,7.2,8.9,5.6,9.5,11.6,9.2,,,8.666666667,2.058802241,6,23.75541047,15.078,14.579,14.282,14.64633333,14.421,56.368,50.632,56.043,54.34766667
C10,crowded,0,2/9/24,28.5,38.5,4.2275,30,6.9,7.3,10.7,6.4,8.8,5.7,,,7.633333333,1.82610697,5,23.92279874,16.08,16.459,15.628,16.05566667,12.541,66.132,64.395,70.027,66.85133333
C11,crowded,0,2/9/24,28.5,38.5,4.1925,30,5.3,6.8,5.2,3.4,4.8,,,,5.1,1.216552506,3.4,23.85397071,16.36,16.429,15.744,16.17766667,12.571,54.231,52.178,60.125,55.51133333
C12,crowded,0,2/9/24,28.5,38.5,3.6689,30,5.1,4.1,4.3,4.4,3,,,,4.18,0.759605161,2.1,18.17237226,14.9443,14.881,14.221,14.6821,14.119,63.446,63.375,71.303,66.04133333
C13,crowded,0,2/9/24,28.5,38.5,4.1439,30,3,4.4,2.1,1.5,2,,,,2.6,1.142365966,2.9,43.93715253,15.178,14.169,14.166,14.50433333,14.831,55.803,48.915,56.624,53.78066667
C14,crowded,0,2/9/24,28.5,38.5,3.7245,30,8.5,6.6,6.3,5.2,4.2,4.9,,,5.95,1.534600925,4.3,25.79161219,15.134,15.348,14.238,14.90666667,13.652,69.245,67.511,71.246,69.334
C15,crowded,0,2/9/24,28.5,38.5,4.1432,30,8.1,4.3,5.5,4.7,5.1,7.4,,,5.85,1.541103501,3.8,26.34364959,13.723,15.404,15.431,14.85266667,13.596,66.293,65.034,63.001,64.776
C16,crowded,0,2/9/24,28.5,38.5,4.1756,30,5.1,4.9,13,13.6,8,7.1,7.7,,8.485714286,3.503059887,8.7,41.28185052,14.7,14.834,13.722,14.41866667,14.166,61.744,60.869,66.293,62.96866667
S01,solitary,1,2/7/24,28,41.5,6.1141,30,8.9,6.7,6.8,6.8,8.8,5.7,,,7.283333333,1.282835401,3.2,17.6133007,19.877,19.433,18.289,19.19966667,9.567,4.725,3.813,4.786,4.441333333
S02,solitary,1,2/7/24,28,41.5,5.7709,30,6.8,3.8,5.2,4.1,5,8,8.5,,5.914285714,1.867644302,4.7,31.57852684,18.723,18.494,16.984,18.067,10.506,5.004,4.831,6.122,5.319
S03,solitary,1,2/7/24,28,41.5,8.5814,30,2.8,4.1,3.5,1.5,2.6,2.2,3.4,,2.871428571,0.875051019,2.6,30.47441359,23.263,15.666,15.716,15.691,13.334,24.344,5.958,7.446,6.702
S04,solitary,1,2/7/24,28,41.5,6.3461,30,4.2,3.2,3.5,3.2,5.9,2,1.7,1.3,3.125,1.494513777,4.6,47.82444085,20.711,17.724,16.949,18.46133333,11.276,7.61,4.411,5.444,5.821666667
S05,solitary,1,2/7/24,28,41.5,6.4723,29,5.9,13.1,15.6,14.3,14.1,13.4,14.3,,12.95714286,3.212401564,9.7,24.79251483,23.068,17.135,16.687,16.911,11.865,13.847,4.632,5.892,5.262
S06,solitary,1,2/8/24,29,39,6.3008,30,5.7,4.5,4.4,5.3,7.3,4.8,4.7,6.6,5.4125,1.056189242,2.9,19.51388899,15.806,15.302,14.938,15.34866667,13.698,22.272,19.177,21.864,21.10433333
S07,solitary,1,2/8/24,29,39,5.6001,30,4.7,5,5.6,4.1,4.7,7.8,6.2,,5.442857143,1.242118007,3.7,22.82106574,26.604,23.8,23.879,23.8395,5.2,14.962,0.841,1.616,1.2285
S08,solitary,1,2/8/24,29,39,5.5368,30,5.1,4.3,6,6.8,3.3,9,4.5,,5.571428571,1.897115605,5.7,34.05079291,23.759,21.266,20.956,21.111,7.734,5.218,1.816,2.677,2.2465
S09,solitary,1,2/8/24,29,39,6.6793,30,6.1,7.6,8.9,2.8,2,2.6,2.4,2.2,4.325,2.770636853,6.9,64.0609677,22.14,18.504,17.746,18.125,10.496,9.416,4.423,5.187,4.805
S10,solitary,1,2/8/24,29,39,6.7307,30,5.6,4,3.2,2.7,3.1,4.3,5.5,,4.057142857,1.155937055,2.9,28.4914063,18.097,16.766,16.427,17.09666667,12.234,7.867,6.596,8.025,7.496
S11,solitary,1,2/9/24,28,39,6.6369,30,5.1,3.3,4.6,8.5,7.1,4.2,,,5.466666667,1.952092894,5.2,35.70901635,20.698,16.27,15.954,16.112,12.73,16.671,8.391,9.456,8.9235
S12,solitary,1,2/9/24,28,39,6.8249,30,5.4,5.2,4.1,4.5,3.6,3.2,,,4.333333333,0.871014734,2.2,20.10034001,17.332,16.129,16.033,16.498,12.871,10.659,8.686,10.672,10.00566667
S13,solitary,1,2/9/24,28,39,6.043,29,5.1,4.4,9,4.6,4.3,8.9,8.4,8.3,6.625,2.189422624,4.7,33.04788867,17.303,16.154,15.817,16.42466667,12.846,5.778,4.855,6.128,5.587
S14,solitary,1,2/9/24,28.5,38.5,5.877,30,5.3,8.3,7.2,13.8,7.4,8.3,,,8.383333333,2.871526888,8.5,34.25280582,19.632,19.169,18.905,19.23533333,9.831,10.398,9.833,13.913,11.38133333
S15,solitary,1,2/9/24,28.5,38.5,5.0938,30,5.6,4.8,7.7,3.5,11.1,5.7,8.6,,6.714285714,2.582910872,7.6,38.46888532,18.877,13.369,15.765,14.567,15.631,46.164,13.164,13.546,13.355
S16,solitary,1,2/9/24,28.5,38.5,6.7133,30,4.9,3.3,2.2,2.1,4.4,3.4,5.1,,3.628571429,1.2188988,3,33.59169922,16.351,16.037,15.699,16.029,12.963,14.841,13.92,16.992,15.251
